,years_of_exp,degree,fields,skills,languages
1563,20,None,"finance, hospitality
* skills: financial reporting, us gaap principles, fiscal budgeting, cash flow analysis, individual tax returns, federal/state tax preparation, peoplesoft and essbase, customer relations","financial reporting, us gaap principles, fiscal budgeting, cash flow analysis, individual tax returns, federal/state tax preparation, peoplesoft and essbase, customer relations",not mentioned
1564,23,Masters,"finance, business, operations, management
* skills: budgeting, cost management, financial reporting & analytics, investments, process improvement, sarbanes oxley, scheduling, inventory management, receiving, sales","budgeting, cost management, financial reporting & analytics, investments, process improvement, sarbanes oxley, scheduling, inventory management, receiving, sales",not specified
1565,13,None,"finance operations, supervisor manager, customer relations manager
* skills: 10-key by touch, accounts payable, accounts receivable, administrative, billing, budgets, cisco, closing, interpersonal, credit, client, customer satisfaction, customer care, database, direction, driving, general ledger, government, internet explorer, team building, director, managing, meetings, access, excel, microsoft office, power point, window, word, works, negotiating, people soft, policies, presenting, processes, quality, quality control, research, vantive, vision, vista, written","10-key by touch, accounts payable, accounts receivable, administrative, billing, budgets, cisco, closing, interpersonal, credit, client, customer satisfaction, customer care, database, direction, driving, general ledger, government, internet explorer, team building, director, managing, meetings, access, excel, microsoft office, power point, window, word, works, negotiating, people soft, policies, presenting, processes, quality, quality control, research, vantive, vision, vista, written",not specified
1566,24,Bachelors,"corporate finance, audit, healthcare finance
* skills: balance sheet risk management, contract negotiations, treasury management, us gaap accounting, board communications, multi-disciplinary team lead","balance sheet risk management, contract negotiations, treasury management, us gaap accounting, board communications, multi-disciplinary team lead",not mentioned
1567,25,Bachelors,"finance, accounting, financial reporting, analysis, treasury management, audits, regulatory compliance
* skills: financial management, financial reporting, general ledger, treasury management, process improvement, finance controls, sarbanes-oxley compliance, gl account reconciliations, sales commission analysis, sales d&a analysis, inventory reconciliation, customer relations, payroll management, staff training & management, accounts payable & receivable, fixed asset management, state reporting, oracle financials, quickbooks, asset keeper, discovery payroll, excel, adp-etime, kronos, peoplesoft, msoffice","financial management, financial reporting, general ledger, treasury management, process improvement, finance controls, sarbanes-oxley compliance, gl account reconciliations, sales commission analysis, sales d&a analysis, inventory reconciliation, customer relations, payroll management, staff training & management, accounts payable & receivable, fixed asset management, state reporting, oracle financials, quickbooks, asset keeper, discovery payroll, excel, adp-etime, kronos, peoplesoft, msoffice",not specified
1568,25,Bachelors,"special finance management, cost & risk analysis, structured negotiations, audit controls, marketing, sales, underwriting, leasing, finance, billing, energy services, large business and trade market
* skills: not specified",not specified,not specified
1569,9,Bachelors,"banking, trade finance, customer service, credit and collections
* skills: client relations, customer satisfaction, customer service, credit and collections, marketing, global trade services, computer proficient","client relations, customer satisfaction, customer service, credit and collections, marketing, global trade services, computer proficient","english, hindi, tamil"
1570,25,None,"finance and accounting, administration, software testing, booking
* skills: administrative, ap, ar, billing, conferences, contracts, client, customer service, customer support, database, dictation, senior management, faxes, finance, financial, human resources, invoicing, notes, director, materials, meetings, excel spreadsheets, microsoft excel, mail, microsoft office, office, microsoft word, presentations, processes, coding, proposals, quality, receptionist, reporting, scheduling, spreadsheets, strategy, telephone, time management, transportation, travel arrangements, upgrades, web applications, websites, year-end","administrative, ap, ar, billing, conferences, contracts, client, customer service, customer support, database, dictation, senior management, faxes, finance, financial, human resources, invoicing, notes, director, materials, meetings, excel spreadsheets, microsoft excel, mail, microsoft office, office, microsoft word, presentations, processes, coding, proposals, quality, receptionist, reporting, scheduling, spreadsheets, strategy, telephone, time management, transportation, travel arrangements, upgrades, web applications, websites, year-end",not mentioned
1571,25,Masters,"finance, it, program management, project management
* skills: budget, business analysis, cisa, contract management, financial analysis, forecasting, leadership, mentor, office, enterprise, optimization, organizational, performance reviews, processes, program management, project management, project plans, quality assurance, quick, reporting, six sigma, strategy, strategic analysis","budget, business analysis, cisa, contract management, financial analysis, forecasting, leadership, mentor, office, enterprise, optimization, organizational, performance reviews, processes, program management, project management, project plans, quality assurance, quick, reporting, six sigma, strategy, strategic analysis",not mentioned
1572,23,Bachelors,"finance, accounting, audit, management
* skills: accounting, audit reports, billing, budgets, cost accounting, decision support, financial analysis, financial audits, general ledger, leadership, payroll, sarbanes-oxley","accounting, audit reports, billing, budgets, cost accounting, decision support, financial analysis, financial audits, general ledger, leadership, payroll, sarbanes-oxley",not mentioned
1573,20,Masters,"finance, accounting, general accounting, fund accounting, tax, research, financial analysis
* skills: accurate, bloomberg, dtcc, pace, asset arena, essbase, great plains, hyperion, eledger/sap, access, excel, word, powerpoint, oracle, quickbooks, fiscal budgeting knowledge and financial reporting","accurate, bloomberg, dtcc, pace, asset arena, essbase, great plains, hyperion, eledger/sap, access, excel, word, powerpoint, oracle, quickbooks, fiscal budgeting knowledge and financial reporting",not mentioned
1574,8,Masters,"management, finance, administration, advisor, translator, tutor
* skills: operating systems, office suite, networking, web designing, html/dhtml, frontpage, adobe photoshop","operating systems, office suite, networking, web designing, html/dhtml, frontpage, adobe photoshop","dari, persian, pashto, english, russian, arabic, urdu"
1575,19,Bachelors,"accounting, finance, planning and analysis, general ledger, consolidations
* skills: balance sheet analysis, budgeting, forecasting, hyperion, excel, powerpoint, word, oracle","balance sheet analysis, budgeting, forecasting, hyperion, excel, powerpoint, word, oracle",not mentioned
1576,12,Masters,"accounting, finance, auditing, general ledger, inventory management, costing, erp, taxation
* skills: accounting, auditing, balance sheet, bank reconciliation, basic computer knowledge, costing, certified public accountant, credit, debit, documentation, english, erp, filing, finance, financial, forex, forms, general ledger, hindi, inventory, inventory management, management skills, ms office, problem solving, processes, profit, quick, sales, tax, tds","accounting, auditing, balance sheet, bank reconciliation, basic computer knowledge, costing, certified public accountant, credit, debit, documentation, english, erp, filing, finance, financial, forex, forms, general ledger, hindi, inventory, inventory management, management skills, ms office, problem solving, processes, profit, quick, sales, tax, tds","english, hindi, gujarati"
1577,24,Masters,"finance, office management, bookkeeping, project management, purchasing, graphic design, creative writing, grant writing, paralegal, counseling
* skills: accounting, bookkeeping, quickbooks, excel, microsoft office, adobe illustrator, photoshop, quarkxpress, filemaker pro, desktop publishing, graphic design, creative writing, grant writing, paralegal, counseling","accounting, bookkeeping, quickbooks, excel, microsoft office, adobe illustrator, photoshop, quarkxpress, filemaker pro, desktop publishing, graphic design, creative writing, grant writing, paralegal, counseling",not specified
1578,20,Masters,"finance, financial planning and analysis, financial management, strategy controlling, office management, quality management systems
* skills: hyperion planning, essbase, sap r/3, oracle 11, sap bpc, business objects, sharepoint, ms office","hyperion planning, essbase, sap r/3, oracle 11, sap bpc, business objects, sharepoint, ms office","english, german, bulgarian (native)"
1579,0,Masters,"finance, accounts payable, accounts receivables, erp, logistics, procurement, sales, tax
* skills: accounts receivables, accounts payable, ap, arabic, bank reconciliation, book, cash flow, english, erp, erp 9, finance, fixed asset register, forex, functional, general ledger, gl, hr, internal audit, logistics, ms excel, office, office 2000, ms power point, 2000, windows 95, 98, nt, ms word, mis, month end close, operating system, payables, procurement, express, read, reporting, sales, sap, tax, tds, website, wise","accounts receivables, accounts payable, ap, arabic, bank reconciliation, book, cash flow, english, erp, erp 9, finance, fixed asset register, forex, functional, general ledger, gl, hr, internal audit, logistics, ms excel, office, office 2000, ms power point, 2000, windows 95, 98, nt, ms word, mis, month end close, operating system, payables, procurement, express, read, reporting, sales, sap, tax, tds, website, wise","english, tamil, arabic (read & write)"
1580,8,Bachelors,"accounting, finance, analysis, planning, oil and gas services, manufacturing, trading business
* skills: financial reporting & analysis, budgeting, planning, system development & cost controls, project/commercial evaluation, internal controls & financial audits, controllership of accounting operations, team leadership & resource management, erp, ms office, power point, and advance excel","financial reporting & analysis, budgeting, planning, system development & cost controls, project/commercial evaluation, internal controls & financial audits, controllership of accounting operations, team leadership & resource management, erp, ms office, power point, and advance excel",not specified
1581,8,Bachelors,"student finance, accounting, auditing, financial aid, customer service, sales, management
* skills: academic, accounting, auditing, balance, billing, cash handling, credit, customer service, data entry, faxing, filing, financial, funds, home office, managing, microsoft office suite, payroll, processes, progress, research, sales, scanning, scheduling, switchboard, teamwork","academic, accounting, auditing, balance, billing, cash handling, credit, customer service, data entry, faxing, filing, financial, funds, home office, managing, microsoft office suite, payroll, processes, progress, research, sales, scanning, scheduling, switchboard, teamwork",not specified
1582,18,Masters,"finance, accounting, operations, management
* skills: budgeting, financial management, lean implementation, time management, advanced financial analysis, ms excel","budgeting, financial management, lean implementation, time management, advanced financial analysis, ms excel",not mentioned
1583,9,Masters,"human resources, finance, case management
* skills: microsoft office suite, accounting, accounts payable, accounts receivable, administrative, conflict resolution, counseling, client relations, excellent customer service, database, documentation, email, employee relations, human resources, payroll, personnel, policies, recruitment, researching, supervision, telephone, typing, workflow","microsoft office suite, accounting, accounts payable, accounts receivable, administrative, conflict resolution, counseling, client relations, excellent customer service, database, documentation, email, employee relations, human resources, payroll, personnel, policies, recruitment, researching, supervision, telephone, typing, workflow","spanish, english"
1584,33,Bachelors,"finance, accounting, sales, compensation, litigation
* skills: ms office, solar, business objects, pc links, general ledger, fci, fc links, fec, core, sam, compensation, sales, balance sheet, general ledger, audit, national sales, account executive, accountant, executive compensation, litigation, month end close, reconciliations, sales revenue, variance analysis, gl, sarbanes oxley, loans, adjustments, and sales, arrangements, journal, retail, retail marketing, sales assistant, accounting, account for, front end, maintenance, reconciliation, finance, security, sox, accounts and, accounts for, mapping, payments, payroll, payroll accounting, posting, systems support, tax accounting, topo, web based, deferred compensation","ms office, solar, business objects, pc links, general ledger, fci, fc links, fec, core, sam, compensation, sales, balance sheet, general ledger, audit, national sales, account executive, accountant, executive compensation, litigation, month end close, reconciliations, sales revenue, variance analysis, gl, sarbanes oxley, loans, adjustments, and sales, arrangements, journal, retail, retail marketing, sales assistant, accounting, account for, front end, maintenance, reconciliation, finance, security, sox, accounts and, accounts for, mapping, payments, payroll, payroll accounting, posting, systems support, tax accounting, topo, web based, deferred compensation",not mentioned
1585,9,None,"accounting, finance, payroll, auditing, budgeting, financial reporting, corporate tax planning
* skills: project reporting, accounts payables & receivables, auditing, data entry, internet, exchange rate control, microsoft proficiency, payroll processing, accounting software","project reporting, accounts payables & receivables, auditing, data entry, internet, exchange rate control, microsoft proficiency, payroll processing, accounting software","swahili, english"
1586,12,Masters,"accounting, finance, internal auditing, document controller
* skills: accounting, accounting software, administrative, auditing, bookkeeping, computer applications, data entry, documentation, erp, financial, inventory, invoicing, payables, payroll, programming","accounting, accounting software, administrative, auditing, bookkeeping, computer applications, data entry, documentation, erp, financial, inventory, invoicing, payables, payroll, programming","english, malayalam, hindi, tamil, arabic"
1587,10,Masters,"finance, accounting, marketing
* skills: budgeting, forecasting, financial analysis, financial reporting, cost accounting, variance analysis, cost reduction, standard and actual costing, gaap, hyperion, continuous improvement, inventory control, six sigma","budgeting, forecasting, financial analysis, financial reporting, cost accounting, variance analysis, cost reduction, standard and actual costing, gaap, hyperion, continuous improvement, inventory control, six sigma",english
1588,20,Bachelors,"finance, customer care, real estate management, property management, payroll, accounting, administrative assistance
* skills: accounting, accounting software, accounts payable, administrative, aia, billing, budget, clarify, conferences, client, clients, data base, senior management, filing, financial statements, forms, legal, letters, marketing, meetings, microsoft office, office, microsoft project, payroll, presentations, progress, sage, structured, tax, taxes, timberline, travel arrangements, websites","accounting, accounting software, accounts payable, administrative, aia, billing, budget, clarify, conferences, client, clients, data base, senior management, filing, financial statements, forms, legal, letters, marketing, meetings, microsoft office, office, microsoft project, payroll, presentations, progress, sage, structured, tax, taxes, timberline, travel arrangements, websites",not specified
1589,23,Bachelors,"finance and operations, business development, financial planning, strategic planning, risk management, staff development, and management
* skills: organizational development, business development, financial planning, strategic planning, contracts management, risk management, staff development, ms office, ms project, visio, microsoft dynamics gp, epicor, quickbooks, salesforce, projector psa","organizational development, business development, financial planning, strategic planning, contracts management, risk management, staff development, ms office, ms project, visio, microsoft dynamics gp, epicor, quickbooks, salesforce, projector psa",not specified
1590,10,Bachelors,"finance, accounting, healthcare, pharmacy, quality control
* skills: microsoft office suite, ms office cloud, reporting, interpersonal, verbal, written communication, desktop publishing software","microsoft office suite, ms office cloud, reporting, interpersonal, verbal, written communication, desktop publishing software",not specified
1591,27,Bachelors,"finance and operations, public and private accounting, cost accounting, budget analysis, account reconciliations, cash-flow report generation
* skills: accounts payable, accounts receivable, adp, bookkeeping, budgets, communication skills, credit, clientele, clients, documentation, special events, filing, financials, financial statements, forecasting, funds, general manager, grants, graphs, inventory, iso 9000, director, managing, meetings, excel, microsoft office, microsoft windows, negotiations, operating system, packaging, payroll, presentations, pricing, production manager, profit, purchasing, quality, quality improvement, quickbooks, research, sales, spreadsheets, tax, vendor relations","accounts payable, accounts receivable, adp, bookkeeping, budgets, communication skills, credit, clientele, clients, documentation, special events, filing, financials, financial statements, forecasting, funds, general manager, grants, graphs, inventory, iso 9000, director, managing, meetings, excel, microsoft office, microsoft windows, negotiations, operating system, packaging, payroll, presentations, pricing, production manager, profit, purchasing, quality, quality improvement, quickbooks, research, sales, spreadsheets, tax, vendor relations",not mentioned
1592,14,Bachelors,"finance, insurance, grocery management, restaurant management
* skills: accounts payable, credit, client, clients, client relations, customer relations, customer service, databases, documentation, special events, financing, financial, funds, government, information technology, insurance, inventory, director, managing, merchandising, office, payroll, personnel, policies, quality, sales, scheduling, staff development, staff training, troubleshoot, website, websites","accounts payable, credit, client, clients, client relations, customer relations, customer service, databases, documentation, special events, financing, financial, funds, government, information technology, insurance, inventory, director, managing, merchandising, office, payroll, personnel, policies, quality, sales, scheduling, staff development, staff training, troubleshoot, website, websites",not specified
1593,8,None,"apparel, retail, customer service
* skills: adaptability, strong work ethic, time management, self-confidence, handling pressure, creativity, communication, team work, motivation, cash register, typing, basic computer skills, customer assistance","adaptability, strong work ethic, time management, self-confidence, handling pressure, creativity, communication, team work, motivation, cash register, typing, basic computer skills, customer assistance",not specified
1594,10,Bachelors,"apparel sales, administration, customer service, logistics, warehouse, inventory, home care, instructional design
* skills: microsoft office, atlas, mmis system, osha standards, adobe x pro, smartplant materials, phoenix, team building, conference planning, pleasant demeanor, multi-line phone proficiency, deadline-driven","microsoft office, atlas, mmis system, osha standards, adobe x pro, smartplant materials, phoenix, team building, conference planning, pleasant demeanor, multi-line phone proficiency, deadline-driven",not specified
1595,24,None,"* apparel development, product development, buying, merchandising, management
* skills: * adobe, excel, flex plm, illustrator, ms office, powerpoint, problem-solving, creative, organized, detailed, collaborative, innovative, driven, efficient","* adobe, excel, flex plm, illustrator, ms office, powerpoint, problem-solving, creative, organized, detailed, collaborative, innovative, driven, efficient",* not specified
1596,17,Bachelors,"apparel production management
* skills: adobe photoshop, budget, client, design software, facility maintenance, inventory, multitasking, product design, quality, quality assurance, quality control, real-time, sales","adobe photoshop, budget, client, design software, facility maintenance, inventory, multitasking, product design, quality, quality assurance, quality control, real-time, sales",not mentioned
1597,4,None,"retail sales, consumer electronics, sales consulting
* skills: setting ad with 100% accuracy, cash register, computer literate, credit, customer relations, customer satisfaction, customer service, inventory, listening, merchandising, pos, problem solver, selling, sales, staffing, supervisor, team player, telephone skills","setting ad with 100% accuracy, cash register, computer literate, credit, customer relations, customer satisfaction, customer service, inventory, listening, merchandising, pos, problem solver, selling, sales, staffing, supervisor, team player, telephone skills",not specified
1598,28,Bachelors,"fine apparel department management, general management, assistant management, stylist, owner/designer/wholesaler
* skills: microsoft excel, word, power point, trend analysis, ability to quickly adapt to changing markets, business acumen, building effective teams, customer focus, developing direct reports and others, drive for results, interpersonal savvy, managing and measuring work, managing vision and purpose, motivating others, problem solving","microsoft excel, word, power point, trend analysis, ability to quickly adapt to changing markets, business acumen, building effective teams, customer focus, developing direct reports and others, drive for results, interpersonal savvy, managing and measuring work, managing vision and purpose, motivating others, problem solving","english, spanish"
1599,20,None,"retail, merchandising, management
* skills: accounts payable, adp, balance sheets, cash handling, cash management, closing, resolve customer complaints, database, direction, drivers, english, fashion, fast, floor plans, inventory, leadership skills, loss prevention, meetings, merchandising, money, windows, works, payroll, pick, policies, quality, fast learner, receiving, retail, selling, sales, scheduling, spanish, store manager, team player","accounts payable, adp, balance sheets, cash handling, cash management, closing, resolve customer complaints, database, direction, drivers, english, fashion, fast, floor plans, inventory, leadership skills, loss prevention, meetings, merchandising, money, windows, works, payroll, pick, policies, quality, fast learner, receiving, retail, selling, sales, scheduling, spanish, store manager, team player","english, spanish"
1600,22,Bachelors,"graphic design, ux design, app development, fashion, photography
* skills: 3d max, actionscript, adobe, photoshop, css, html, illustrator, indesign, flash, graphic designer, ux, php, microsoft office","3d max, actionscript, adobe, photoshop, css, html, illustrator, indesign, flash, graphic designer, ux, php, microsoft office",not specified
1601,8,None,"retail, cashier, apparel associate
* skills: calculators, cash registers, credit, debit, checks and money, inventory, sales, scanners, tables","calculators, cash registers, credit, debit, checks and money, inventory, sales, scanners, tables",not mentioned
1602,6,None,"cashier, care-giver, apparel
* skills: problem solving, adaptability, collaboration, strong work ethic, time management, critical thinking, self-confidence, handling pressure, leadership, creativity","problem solving, adaptability, collaboration, strong work ethic, time management, critical thinking, self-confidence, handling pressure, leadership, creativity",korean
1603,7,Bachelors,"sales, styling, keyholding, sales associate, volunteer work
* skills: enthusiastic, friendly, and personable, advanced problem-solving, highly adaptable, bilingual: english and spanish, effective communication skills, works well within a team, as well as individually, working knowledge of html 5 and css, intermediate knowledge in microsoft word, powerpoint, and excel","enthusiastic, friendly, and personable, advanced problem-solving, highly adaptable, bilingual: english and spanish, effective communication skills, works well within a team, as well as individually, working knowledge of html 5 and css, intermediate knowledge in microsoft word, powerpoint, and excel","english, spanish"
1604,7,Bachelors,"retail, merchandising, sales, marketing
* skills: microsoft excel, microsoft powerpoint, microsoft word","microsoft excel, microsoft powerpoint, microsoft word",not mentioned
1605,7,None,"maintenance, electrical maintenance, mechanical maintenance, conveyor systems, sortation systems
* skills: electrical maintenance, mechanical maintenance, troubleshooting, repair, preventative maintenance, spare parts inventory, ordering, basic facilities maintenance, ethernet networks, tcp/ip protocol stack","electrical maintenance, mechanical maintenance, troubleshooting, repair, preventative maintenance, spare parts inventory, ordering, basic facilities maintenance, ethernet networks, tcp/ip protocol stack",not specified
1606,15,Masters,"human resources, education, retail, real estate
* skills: administrative support, benefits, budget and planning, budgets, clerical, coaching, client, clients, database, direction, special events, fsa, human resources, hr, instruction, inventory, labor relations, leadership, lesson plans, letters, loss prevention, meetings, payroll, personnel, policies, quality, recruiting, reporting, sales, spanish, staffing, teacher","administrative support, benefits, budget and planning, budgets, clerical, coaching, client, clients, database, direction, special events, fsa, human resources, hr, instruction, inventory, labor relations, leadership, lesson plans, letters, loss prevention, meetings, payroll, personnel, policies, quality, recruiting, reporting, sales, spanish, staffing, teacher","spanish, english"
1607,9,None,"retail, customer service, cash handling
* skills: cash handling, professional and friendly, careful and active listener, strong public speaker, multi-tasking, well-organized","cash handling, professional and friendly, careful and active listener, strong public speaker, multi-tasking, well-organized",not specified
1608,15,None,"it compliance, software management, network infrastructure, pc/lan support
* skills: adobe acrobat, aix, arcserve, as/400, ca, dhcp, dns, email, firewall, hp, ibm, internet connectivity, internet explorer, inventory, itil, kix, leadership, magic, managing, mcafee, access, mcp, office 97, outlook 97, windows, windows 2000, 2000, 98, migration, modem, network security, network, novell, operating system, pci, policies, processes, procurement, purchasing, quality, racf, record keeping, router, sap, sarbanes-oxley, sas, servers, scripting, smtp, software installation, symantec, tcp/ip, troubleshoot, unix system, utilities, vpn","adobe acrobat, aix, arcserve, as/400, ca, dhcp, dns, email, firewall, hp, ibm, internet connectivity, internet explorer, inventory, itil, kix, leadership, magic, managing, mcafee, access, mcp, office 97, outlook 97, windows, windows 2000, 2000, 98, migration, modem, network security, network, novell, operating system, pci, policies, processes, procurement, purchasing, quality, racf, record keeping, router, sap, sarbanes-oxley, sas, servers, scripting, smtp, software installation, symantec, tcp/ip, troubleshoot, unix system, utilities, vpn",not mentioned
1609,14,Bachelors,"production management, product development, graphic design, knits, wovens, denim, marketing, public relations, advertising, international business, entrepreneurship, fashion illustration
* skills: business strategies, budget maintenance, costing and vendor negotiations, fabric development, trim/hardware development, print development, packaging development, quality control, merchandising, inventory management, webpdm, plm, illustrator, microsoft office, sage, mac and pc literate","business strategies, budget maintenance, costing and vendor negotiations, fabric development, trim/hardware development, print development, packaging development, quality control, merchandising, inventory management, webpdm, plm, illustrator, microsoft office, sage, mac and pc literate",not specified
1610,13,Bachelors,"sales, operations, communications
* skills: sales, marketing, operations, cash handling, problem-solving, customer service, etc.","sales, marketing, operations, cash handling, problem-solving, customer service, etc.",not mentioned
1611,17,Bachelors,"manufacturing, social work, substance abuse treatment
* skills: approach, agency, child care, client, clients, fashion, futures, mechanical, meetings, money, works, quality, safety","approach, agency, child care, client, clients, fashion, futures, mechanical, meetings, money, works, quality, safety",not mentioned
1612,9,None,"sales, customer service, collections, real estate
* skills: cash register, closing, customer service, debit, excel, inventory, ms office, microsoft outlook, policies, quality, real estate, sales, strong interpersonal skills, trainer, workflow","cash register, closing, customer service, debit, excel, inventory, ms office, microsoft outlook, policies, quality, real estate, sales, strong interpersonal skills, trainer, workflow",not specified
1613,13,None,"administration, customer service, logistics, retail, sales
* skills: project management, report preparation, written correspondence, general office skills, computer savvy, customer service, scheduling, distribution, communication, accounting/bookkeeping, front-office operations, bi-lingual spanish","project management, report preparation, written correspondence, general office skills, computer savvy, customer service, scheduling, distribution, communication, accounting/bookkeeping, front-office operations, bi-lingual spanish",bi-lingual spanish
1614,27,Bachelors,"apparel production, business ownership, sweater production
* skills: not specified",not specified,not specified
1615,0,None,"bookselling, childcare, retail (apparel and jewelry), customer service
* skills: cash handling, cashier, cash registers, communication skills, customer service, inventory, listening, ms office, teaching, time management","cash handling, cashier, cash registers, communication skills, customer service, inventory, listening, ms office, teaching, time management","english, american sign language (asl)"
1616,23,None,"retail, apparel
* skills: coaching, inventory control, italian, ms windows, oracle, payroll, sales, scheduling, staff development, visual merchandising","coaching, inventory control, italian, ms windows, oracle, payroll, sales, scheduling, staff development, visual merchandising","spanish, italian"
1617,19,Bachelors,"administration, retail, sales, management
* skills: microsoft office, spreadsheet development, employee training, coordination, deadline-oriented, creative problem solving, ims connexis proficient, accounts receivable, administrative, billing, budgeting, contracts, client databases, documentation, grant writing, invoicing, payroll, personnel, public relations, reporting, sales, staffing, phone","microsoft office, spreadsheet development, employee training, coordination, deadline-oriented, creative problem solving, ims connexis proficient, accounts receivable, administrative, billing, budgeting, contracts, client databases, documentation, grant writing, invoicing, payroll, personnel, public relations, reporting, sales, staffing, phone",not specified
1618,12,None,"passenger service agent, assistant buyer, sales associate supervisor
* skills: excellent communication skills, problem solving, computer skills, team management, customer service","excellent communication skills, problem solving, computer skills, team management, customer service","native speaker of spanish and english, highly proficient in french"
1619,8,Bachelors,"pr & event management, social media, marketing, media
* skills: adobe, advertising, benchmarking, competitive research, forecasting, google analytics, marketing research, marketing communications, photography, press releases, product marketing, sales, social media platforms","adobe, advertising, benchmarking, competitive research, forecasting, google analytics, marketing research, marketing communications, photography, press releases, product marketing, sales, social media platforms",not specified
1620,8,None,"hospitality, retail, childcare
* skills: service prioritization, guest service, table bussing, effective customer upselling, computer skills, friendly, positive attitude, work ethic, reliable and trustworthy, team management, communication, people skills, customer service, basic math, high-volume dining, relationship management, child psychology knowledge, first aid and cpr certified, analytical","service prioritization, guest service, table bussing, effective customer upselling, computer skills, friendly, positive attitude, work ethic, reliable and trustworthy, team management, communication, people skills, customer service, basic math, high-volume dining, relationship management, child psychology knowledge, first aid and cpr certified, analytical",not specified
1621,17,None,"retail sales management, visual merchandising, apparel sales, nike brand coordination
* skills: game-plan execution, opening and closing store procedures, cash office execution","game-plan execution, opening and closing store procedures, cash office execution",not mentioned
1622,8,None,"photography, product photography, editorial photography, commercial photography
* skills: photoshop, capture one, lightroom, desktop publishing software","photoshop, capture one, lightroom, desktop publishing software",not mentioned
1623,0,Masters,"operation management, industrial engineering, product development, lean manufacturing, quality control management, project management, budgeting, inventory control, logistics, ergonomics, business operation, and project management
* skills: lean manufacturing, mba, p&l management, product development, management, industrial engineering skills, operational management skills, performance analysis, cad, microsoft office, quality control management","lean manufacturing, mba, p&l management, product development, management, industrial engineering skills, operational management skills, performance analysis, cad, microsoft office, quality control management",not specified
1624,14,Masters,"production control, sr. merchandiser, assistant production development manager, trainee engineer, supply chain planner & quality control
* skills: ms excel, access, ms word, ms powerpoint, ms outlook, sap, cnc, costing, data collection, delivery, forecasting, inspection, inventory control, laser, macros, managing, materials, pivot table, pricing, processes, procurement, purchasing, quality, quality control, supplier selection, supply chain, supply chain management","ms excel, access, ms word, ms powerpoint, ms outlook, sap, cnc, costing, data collection, delivery, forecasting, inspection, inventory control, laser, macros, managing, materials, pivot table, pricing, processes, procurement, purchasing, quality, quality control, supplier selection, supply chain, supply chain management",not specified
1625,15,Bachelors,"business management, marketing, customer service, operations, human resources, finance, and exports
* skills: business management, strategic planning, cost control, quickbooks, team building, leadership, new business setup, personnel recruiting, training, opportunity identification, process improvement, and digital marketing","business management, strategic planning, cost control, quickbooks, team building, leadership, new business setup, personnel recruiting, training, opportunity identification, process improvement, and digital marketing","english, spanish, and conversational portuguese"
1626,25,Bachelors,"vendor compliance, product integrity/quality, customer support/sales, business office management
* skills: streamline, billing, budget, call center, coaching, credit, client, customer service, documentation, driving, senior management, law, legal, logistics, ma, managing, packaging, performance reviews, personnel, processes, quality, qa, quality assurance, selling, sales, sales and support, scheduling, teamwork, trouble shooting, vendor management, website","streamline, billing, budget, call center, coaching, credit, client, customer service, documentation, driving, senior management, law, legal, logistics, ma, managing, packaging, performance reviews, personnel, processes, quality, qa, quality assurance, selling, sales, sales and support, scheduling, teamwork, trouble shooting, vendor management, website",not specified
1627,14,Bachelors,"materials analysis, quality assurance, lean manufacturing, six sigma, project management
* skills: advanced microsoft office, tableau, spc, doe, online survey tools, statistical programs, manufacturing processes, physical and mechanical testing","advanced microsoft office, tableau, spc, doe, online survey tools, statistical programs, manufacturing processes, physical and mechanical testing",not specified
1628,20,Bachelors,"apparel, packaging, graphics, home textiles
* skills: adobe creative suites, cad, microsoft office, pdm/plm, u4ia, kaledo","adobe creative suites, cad, microsoft office, pdm/plm, u4ia, kaledo",not specified
1629,10,None,"customer service, retail, office administration, cashier, assistant manager, lead cashier/attendant, closing key holder, customer service manager
* skills: microsoft office, as/400, self-starter, meticulous attention to detail, medical terminology, proofreading, strong interpersonal skills, business writing, mail management, customer service, leadership, coaching, teaching, team player","microsoft office, as/400, self-starter, meticulous attention to detail, medical terminology, proofreading, strong interpersonal skills, business writing, mail management, customer service, leadership, coaching, teaching, team player",not specified
1630,15,None,"fashion design, creative direction, marketing, product development
* skills: creative thinking, leadership, organization, communication, problem-solving, design techniques, marketing strategy, product demonstration, sales techniques, sales control systems","creative thinking, leadership, organization, communication, problem-solving, design techniques, marketing strategy, product demonstration, sales techniques, sales control systems","spanish (native), english (medium-high), italian (basic)"
1631,23,None,"retail, human resources, office administration
* skills: assistant manager, benefits, budgets, cash receipts, coaching, interpersonal, competitive analysis, customer satisfaction, customer service, forms, functional, hiring, hr, inventory, marketing, meetings, merchandising, office, communicator, payroll, policies, presentations, progress, reconciling, recruiting, recruitment, sales, sales manager, shipping, staffing, store manager, strategic plans, supervisor","assistant manager, benefits, budgets, cash receipts, coaching, interpersonal, competitive analysis, customer satisfaction, customer service, forms, functional, hiring, hr, inventory, marketing, meetings, merchandising, office, communicator, payroll, policies, presentations, progress, reconciling, recruiting, recruitment, sales, sales manager, shipping, staffing, store manager, strategic plans, supervisor",not specified
1632,7,Bachelors,"petroleum engineering, buyer/planner, logistics analyst, warehouse executive
* skills: cad, solid works, matlab, ms office, erp, forecasting, logistics, materials, procurement, production, sales, shipping","cad, solid works, matlab, ms office, erp, forecasting, logistics, materials, procurement, production, sales, shipping","english, portuguese, spanish"
